epoch,train_loss,validation_loss,psnr_med,psnr_large
1,-18.970740546268296,-21.497998306274415,22.72090216064453,21.090363723754884
2,-22.51615591163179,-22.691305656433105,24.163367729187012,22.200618339538575
3,-23.541806832727683,-23.53933068084717,25.268319686889647,22.963001129150392
4,-24.358778379827857,-24.927471389770506,26.73569103240967,24.324731506347657
5,-24.95728827852652,-25.132839950561525,27.154783256530763,24.458858840942383
6,-25.274896819278062,-25.485423698425294,27.643445907592774,24.76608282470703
7,-25.51410753318513,-25.687380195617674,27.78809521484375,24.987141944885256
8,-25.68764555121798,-25.91501806640625,28.015986000061034,25.214695404052733
9,-25.78828524403363,-25.79176972961426,27.910560493469237,25.085506134033203
10,-25.962248114475692,-26.27297043609619,28.54627442932129,25.51520241546631
11,-26.15549965208745,-26.32798836517334,28.63589666748047,25.55868559265137
12,-26.286190580086878,-26.40260077667236,28.75238784790039,25.61933841705322
13,-26.389265584755705,-26.537483207702635,28.942612899780272,25.735773300170898
14,-26.425944347305602,-26.030397705078126,28.304480140686035,25.272370254516602
15,-26.460086655331796,-26.443651969909666,28.803626777648926,25.65699376678467
16,-26.726523608325486,-26.745978576660157,29.175991554260253,25.935974266052245
17,-26.66586274834743,-26.78226558685303,29.27154620361328,25.952505393981934
18,-26.70162312633013,-26.78536376953125,29.420037742614745,25.907139099121093
19,-26.824074323433805,-26.816254051208496,29.318892433166504,25.982041374206542
20,-26.871345459227545,-26.726997596740723,29.138584083557127,25.923135528564455
21,-26.80173387565461,-26.941220260620117,29.49105647277832,26.091274932861328
22,-26.972902024409684,-26.878939346313476,29.361345321655275,26.051470779418946
23,-26.949397394856607,-27.150575370788573,29.74339421081543,26.286302429199218
24,-26.99923703015088,-26.720371238708495,29.28604123687744,25.865147941589356
25,-27.018492634077948,-26.692763961791993,29.12717147064209,25.881294647216798
26,-27.06484594003138,-26.851467071533204,29.28269934082031,26.041056327819824
27,-27.037587184830016,-27.07449417114258,29.63695043182373,26.220342124938966
28,-27.078341282696364,-26.356264656066895,28.72523320007324,25.566608474731446
29,-27.170311961990905,-27.228169548034668,29.83384902191162,26.359609588623048
30,-27.182803583335115,-27.13242864227295,29.708994956970216,26.273573234558107
31,-27.14677546223796,-26.989276145935058,29.500222145080567,26.152294136047363
32,-27.206179387065994,-26.93925471496582,29.353422203063964,26.134532165527343
33,-27.174992071204926,-27.136372261047363,29.75266781616211,26.26427375793457
34,-27.206130867460335,-26.995445014953614,29.46972848510742,26.170683876037597
35,-27.245557283500276,-27.27933567047119,29.893898429870607,26.407814735412597
