epoch,train_loss,validation_loss,psnr_med,psnr_large
1,-15.754139885009522,-20.902870948791502,25.385840141296388,19.408547828674315
2,-22.925275612637343,-24.128048606872557,27.042392082214356,23.156600769042967
3,-24.456286434158386,-24.61197747039795,27.674633224487305,23.591092155456543
4,-24.847071856616502,-24.93111777496338,27.988305458068847,23.912055183410644
5,-25.089717956178216,-24.556384910583496,27.014000648498534,23.737179710388183
6,-25.172491347172347,-25.06867515563965,28.124832496643066,24.049955963134767
7,-25.350965644258903,-25.15642421722412,28.313674247741698,24.104007553100587
8,-25.40153112069544,-25.403577323913574,28.701516975402832,24.30426416015625
9,-25.445808820990454,-25.515617774963378,28.895315444946288,24.38905170440674
10,-25.563721029881936,-25.575704330444335,29.003447937011718,24.433123138427735
11,-25.621925939126793,-25.545985527038575,28.863278259277344,24.44022129058838
12,-25.63924686842231,-25.379292068481444,28.380126571655275,24.37901396179199
13,-25.697995250443537,-25.702578033447267,29.158916152954102,24.55046538543701
14,-25.752114960871843,-25.644880882263184,28.98012032318115,24.533134391784667
15,-25.78711618370269,-25.693963562011717,29.129163833618165,24.5488969039917
16,-25.79632687663652,-25.745191650390623,29.13699267578125,24.614591331481932
17,-25.861275881885057,-25.66575035095215,28.96602252960205,24.565659706115724
18,-25.842088790528802,-25.86582546234131,29.375416221618654,24.695961952209473
19,-25.914634111867958,-25.897405975341798,29.440808502197264,24.716271911621092
20,-25.938355723225264,-25.769478118896483,28.956183265686036,24.70724306488037
21,-25.95328821888958,-25.950948699951173,29.49627417755127,24.769173530578612
22,-25.98272823622502,-25.974847564697267,29.548460861206056,24.783643203735352
23,-25.99375287090165,-25.950285415649414,29.41791746520996,24.794408058166503
24,-26.01545596787654,-26.025119842529296,29.605006340026854,24.831824523925782
25,-26.037095309253708,-26.035408866882324,29.598283226013184,24.84778408050537
26,-26.008148413730332,-25.61000479888916,28.76320379638672,24.55893854522705
27,-26.085847353080354,-26.0452091217041,29.57994921875,24.86696248626709
28,-26.082537046941628,-26.011945030212402,29.408647994995118,24.879710708618163
29,-26.127404665092072,-26.079437606811524,29.61859851074219,24.89971723175049
30,-26.121373666710113,-26.050543815612794,29.534648574829102,24.889175552368165
31,-26.139666219156577,-26.10699295043945,29.699028511047363,24.909647735595705
32,-26.15545227993057,-26.1658515625,29.783467872619628,24.95997957611084
33,-26.1288948211062,-26.114463172912597,29.609242210388185,24.949536834716795
34,-26.128079676533126,-26.152554275512696,29.701482383728028,24.96957819366455
35,-26.189885644798736,-26.187809036254883,29.76233285522461,24.996301094055177
36,-26.180647929826105,-26.211097923278807,29.80118096923828,25.014403732299805
37,-26.239768343617715,-26.185016174316406,29.756771881103514,24.994430946350096
38,-26.24778423841256,-26.24064981842041,29.831340576171876,25.043752914428712
39,-26.24774262629657,-26.207248710632324,29.705724182128908,25.041090301513673
40,-26.264484207943617,-26.09618123626709,29.384977043151856,24.999915954589845
41,-26.298627321463655,-26.278108573913574,29.79392820739746,25.106168823242186
42,-26.26217104239293,-26.297058212280273,29.815101707458496,25.124377166748047
43,-26.33441832341046,-26.333408950805666,29.844138595581054,25.163165748596192
44,-26.339059449761987,-26.35928844451904,29.800666549682617,25.212162353515627
45,-26.398588469303938,-26.28021636199951,29.55373494720459,25.189043563842773
46,-26.38523348014193,-26.125052131652833,28.905009994506838,25.19839959716797
47,-26.47556263137149,-26.504806816101073,29.821529289245607,25.399232582092285
48,-26.56903232711245,-26.581412223815917,29.86969354248047,25.48531837463379
49,-26.56025052165605,-26.585548149108888,29.732587860107422,25.536534965515138
50,-26.639386401233445,-26.391774841308592,29.28388479614258,25.42773824310303
51,-26.66210791599228,-26.57749402618408,29.697602615356445,25.537457870483397
52,-26.697408539365487,-26.59243620300293,29.55079347229004,25.60631714630127
53,-26.7376469995871,-26.24295774078369,28.940715423583985,25.343705284118652
54,-26.742498724584085,-26.702827613830568,29.8523850479126,25.652975212097168
55,-26.742114078476135,-26.755243484497072,29.840157722473144,25.72693869781494
56,-26.791081766683266,-26.75063037109375,29.859442665100097,25.71435958099365
57,-26.737129766152673,-26.801232833862304,29.939206253051758,25.7552416305542
58,-26.80136334088694,-26.76955181121826,29.861453437805174,25.738917976379394
59,-26.718557532565054,-26.703781539916992,29.63722622680664,25.725966575622557
60,-26.806285804961306,-26.780987495422362,29.81621049499512,25.769246459960936
61,-26.8055793944583,-26.837873390197753,29.99108679962158,25.786802169799806
62,-26.818251355235795,-26.768446464538574,29.78251737976074,25.763756088256837
63,-26.775913854044273,-26.567397789001465,29.340659057617188,25.64297738647461
64,-26.84358460779684,-26.689233947753905,29.767422019958495,25.663171257019044
65,-26.85139845281958,-26.869508193969725,30.018808166503906,25.8197414932251
66,-26.84905216323427,-26.80297487640381,29.87028734588623,25.780537399291994
67,-26.85668498491386,-26.82436696624756,29.88137654876709,25.80536373901367
68,-26.885058399215637,-26.8693271484375,30.00047297668457,25.825611968994142
69,-26.856279266782966,-26.85136679840088,29.92652661895752,25.826313514709472
70,-26.852668435450095,-26.872213729858398,29.942826675415038,25.84867610168457
71,-26.8922903585244,-26.816766723632814,29.770039543151857,25.832342445373534
72,-26.824429614610406,-26.1802156829834,28.387657371520994,25.44440184020996
73,-26.88333376090365,-26.757470268249513,29.614266868591308,25.805204864501952
74,-26.908905584023767,-26.78087004852295,29.651158096313477,25.82410740661621
75,-26.873720511022317,-26.717139991760256,29.54546723175049,25.7743642578125
76,-26.910262932340462,-26.922904434204103,30.07269514465332,25.87297428894043
77,-26.88654442137456,-26.927290313720704,30.062626525878905,25.88217823791504
78,-26.8868247180346,-26.871734062194825,29.879242218017577,25.869231315612794
79,-26.922290771605958,-26.841679481506347,29.872440292358398,25.83142588043213
80,-26.917034377139878,-26.8643345413208,29.826202583312988,25.87704512023926
81,-26.9513941913012,-26.950195861816407,30.098123405456544,25.9008865814209
82,-26.951545342981102,-26.908458351135256,30.031816734313963,25.86733885192871
83,-26.927442619050165,-26.902197555541992,29.951849800109862,25.88564682006836
84,-26.901517115741136,-26.877974418640136,29.91670830535889,25.865063117980956
85,-26.964542373718018,-26.766542739868164,29.454811767578125,25.870453125
86,-26.916662732918425,-26.96733236694336,30.113339111328123,25.918663429260253
87,-26.9555097861119,-26.90106067657471,29.892576835632322,25.903888549804687
88,-26.956268819679778,-26.800749351501466,29.86129800415039,25.780566581726074
89,-26.968169649283723,-26.994392433166503,30.14919680786133,25.942791053771973
90,-26.97770637724979,-26.98138205718994,30.114709785461425,25.936939414978028
