epoch,train_loss,validation_loss,psnr_med,psnr_large
1,-20.569913229619363,-22.408043296813965,23.68399227142334,21.98272702026367
2,-23.739596317488832,-24.490816360473634,25.867220474243165,24.032014778137206
3,-24.705899766716826,-25.377458755493166,27.351981353759765,24.719284545898436
4,-25.487622424425833,-25.50157639312744,27.8978009185791,24.702834785461427
5,-25.756503101364075,-26.00230076599121,28.164121726989745,25.281693740844727
6,-26.007177223722298,-26.151926864624023,28.512758666992188,25.364983016967773
7,-26.166898446254045,-26.109000122070313,28.5415255279541,25.29815828704834
8,-26.410993317683854,-26.474191062927247,28.977873428344726,25.63963038635254
9,-26.522154591472976,-26.68938195800781,29.23794100189209,25.839862289428712
10,-26.601200939649605,-26.37476200866699,28.927052124023437,25.523998611450196
11,-26.644169218511696,-26.262876976013185,28.6957650680542,25.451914253234865
12,-26.72987523021926,-26.642229835510253,29.208053794860838,25.786955253601075
13,-26.838509928182777,-26.870774688720704,29.591850532531737,25.963749320983887
14,-26.846520344099677,-26.676156494140624,29.38370034790039,25.773641952514648
15,-26.843407672714903,-27.008768814086913,29.71424690246582,26.10694275665283
16,-26.94979283154248,-26.975736671447756,29.65659491729736,26.082117324829103
17,-26.997287058735274,-27.0145139541626,29.714900802612306,26.114385154724122
18,-27.049839901259222,-27.03970548248291,29.71790552520752,26.146972076416017
19,-26.979072023672888,-27.139650695800782,29.904055610656737,26.21818256378174
20,-27.097936675843016,-27.12788412475586,29.880957588195802,26.210193046569824
21,-27.141734681756372,-27.11697357940674,29.85663111114502,26.203754455566408
22,-27.13651684460887,-26.9002972946167,29.688162117004396,25.971009025573732
23,-27.180209619590485,-27.076555137634276,29.842872436523436,26.15444938659668
24,-27.196094953681367,-27.301400703430176,30.083943740844727,26.373886276245116
25,-27.264109235360802,-26.993364654541015,29.837227882385253,26.045410255432127
26,-27.244826890557885,-27.214957511901854,29.969443046569825,26.296795547485353
27,-27.283660729092905,-27.129104583740233,29.87382521057129,26.214197708129884
28,-27.315519591251693,-27.33567002105713,30.085543411254882,26.419045593261718
29,-27.32452658543074,-27.208816322326662,29.949340881347656,26.295308181762696
30,-27.27974199393831,-27.23820721435547,30.098761291503905,26.284689193725587
31,-27.358899317889573,-27.293729568481446,30.13060208129883,26.348105361938476
32,-27.36470645737363,-27.296755722045898,30.0743168258667,26.370901977539063
33,-27.367704938607385,-27.440780502319335,30.21543381500244,26.51589617919922
34,-27.438558289729265,-27.26517658996582,30.000484657287597,26.353407127380372
35,-27.354184017713326,-27.3623002243042,30.122069053649902,26.442377296447752
36,-27.387029518644173,-27.48144309234619,30.27032608795166,26.55181547546387
37,-27.45426524492849,-27.485757774353026,30.224488388061523,26.57284767150879
38,-27.453220618198593,-27.01395336151123,29.664713706970215,26.13036654663086
39,-27.444859348920236,-27.36180830383301,30.085672088623046,26.453853637695314
40,-27.45757428203446,-27.490402313232423,30.252454208374022,26.569718376159667
41,-27.42414167487764,-27.52278063964844,30.323041549682618,26.589360374450685
42,-27.470372211410705,-27.310681182861327,30.100469680786134,26.380751770019533
43,-27.50642746093264,-27.39211282348633,30.16722360229492,26.46707582092285
44,-27.48746321020848,-27.214613258361815,29.95616212463379,26.30076375579834
45,-27.46420322281431,-27.54546035003662,30.29585595703125,26.628661682128907
46,-27.503675476013427,-27.35513887786865,30.108819381713868,26.43724536895752
